time throughput_mbps
0 0.74496
1 0.55728
2 1.26048
3 0.88752
4 1.51296
5 0.86016
6 0.54528
7 0.30576
8 0.35568
9 0.60288
10 0.39648
11 0.28272
12 0.59136
13 1.02384
14 0.47232
15 0.71136
16 0.7536
17 0.68544
18 0.35424
19 0.5448
20 0.64128
21 0.76944
22 0.7872
23 0.33552
24 0.31536
25 0.609232
26 0.631792
27 0.781552
28 0.981568
29 0.87024
30 0.95808
31 1.206352
32 0.29136
33 0.50256
34 0.3216
35 0.36288
36 0.2712
37 0.33456
38 0.73488
39 0.61056
40 0.42672
41 0.32976
42 0.2904
43 0.5424
44 0.65136
45 1.09296
46 0.868544
47 0.26208
48 0.504592
49 0.39696
50 0.32544
51 0.20448
52 0.30528
53 0.45312
54 0.3312
55 0.588
56 0.62496
57 0.26064
58 0.41808
59 0.22608
60 0.11904
61 0.41712
62 1.07712
63 1.0728
64 0.68736
65 0.24624
66 0.44784
67 0.89472
68 0.54528
69 0.37488
70 0.34752
71 0.35472
72 0.35232
73 0.43728
74 0.43344
75 0.73056
76 0.92112
77 1.11168
78 0.91344
79 0.27072
80 0.22752
81 0.35328
82 0.26544
83 0.42336
84 0.64224
85 0.3216
86 0.14352
87 0.60912
88 1.26288
89 0.27552
90 0.44544
91 0.56592
92 0.4752
93 1.01664
94 0.33984
95 0.21648
96 0.3456
97 0.50784
98 1.1088
99 0.8304
100 0.80832
101 0.74784
102 0.71136
103 0.32016
104 0.4776
105 1.07568
106 0.75072
107 0.34656
108 0.64848
109 0.32592
110 0.44064
111 0.49968
112 0.24
113 0.13728
114 0.4176
115 0.27264
116 0.25632
117 0.79872
118 0.62256
119 0.44064
120 0.4656
121 0.34224
