time throughput_mbps
0 0.0
1 0.00152
2 0.104456
3 0.01244
4 0.109008
5 0.109008
6 0.0
7 0.278576
8 0.254352
9 0.096896
10 0.254352
11 0.278576
12 0.3028
13 0.314912
14 0.233528
15 0.196048
16 0.048448
17 0.169568
18 0.145344
19 0.109008
20 0.18168
21 0.218016
22 0.18168
23 0.218016
24 0.254352
25 0.218016
26 0.182208
27 0.121648
28 0.218016
29 0.110192
30 0.111224
31 0.111072
32 0.205904
33 0.218544
34 0.109008
35 0.133232
36 0.193792
37 0.096896
38 0.218016
39 0.109008
40 0.218016
41 0.109008
42 0.109008
43 0.18168
44 0.269528
45 0.182736
46 0.145344
47 0.18168
48 0.133232
49 0.109008
50 0.109008
51 0.096896
52 0.12112
53 0.096896
54 0.012112
55 0.218016
56 0.12112
57 0.084784
58 0.291696
59 0.145344
